"No.","Time","Source","Destination","Protocol","Length","Info"
"1273","15.629692","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=6222 Ack=986 Win=512 Len=1392 [TCP segment of a reassembled PDU]"
"1274","15.629692","192.168.0.10","157.240.251.61","TCP","324","64144  >  5222 [PSH, ACK] Seq=7614 Ack=986 Win=512 Len=270 [TCP segment of a reassembled PDU]"
"1276","15.660123","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=986 Ack=1504 Win=3746 Len=0"
"1277","15.660123","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=986 Ack=4288 Win=3768 Len=0"
"1278","15.660123","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=986 Ack=4830 Win=3768 Len=0"
"1279","15.762304","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=986 Ack=6222 Win=3779 Len=0"
"1280","15.762304","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=986 Ack=7614 Win=3790 Len=0"
"1281","15.762304","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=986 Ack=7884 Win=3790 Len=0"
"1311","15.769223","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=7884 Ack=986 Win=512 Len=1392 [TCP segment of a reassembled PDU]"
"1312","15.769223","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=9276 Ack=986 Win=512 Len=1392 [TCP segment of a reassembled PDU]"
"1313","15.769223","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=10668 Ack=986 Win=512 Len=1392 [TCP segment of a reassembled PDU]"
"1314","15.769223","192.168.0.10","157.240.251.61","TCP","564","64144  >  5222 [PSH, ACK] Seq=12060 Ack=986 Win=512 Len=510 [TCP segment of a reassembled PDU]"
"1318","15.867705","157.240.251.61","192.168.0.10","TCP","139","5222  >  64144 [PSH, ACK] Seq=986 Ack=7884 Win=3790 Len=85 [TCP segment of a reassembled PDU]"
"1336","15.868186","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1071 Ack=9276 Win=3801 Len=0"
"1345","15.897762","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1071 Ack=10668 Win=3812 Len=0"
"1346","15.912813","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=12570 Ack=1071 Win=511 Len=0"
"1349","15.974783","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1071 Ack=12060 Win=3822 Len=0"
"1350","15.974783","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1071 Ack=12570 Win=3822 Len=0"
"1377","15.975218","157.240.251.61","192.168.0.10","TCP","139","5222  >  64144 [PSH, ACK] Seq=1071 Ack=12570 Win=3822 Len=85 [TCP segment of a reassembled PDU]"
"1398","16.023613","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=12570 Ack=1156 Win=511 Len=0"
"1433","16.107211","157.240.251.61","192.168.0.10","TCP","139","5222  >  64144 [PSH, ACK] Seq=1156 Ack=12570 Win=3822 Len=85 [TCP segment of a reassembled PDU]"
"1445","16.150716","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=12570 Ack=1241 Win=516 Len=0"
"1477","16.273035","157.240.251.61","192.168.0.10","TCP","126","5222  >  64144 [PSH, ACK] Seq=1241 Ack=12570 Win=3822 Len=72 [TCP segment of a reassembled PDU]"
"1490","16.274481","192.168.0.10","157.240.251.61","TCP","120","64144  >  5222 [PSH, ACK] Seq=12570 Ack=1313 Win=516 Len=66 [TCP segment of a reassembled PDU]"
"1495","16.296599","157.240.251.61","192.168.0.10","TCP","126","5222  >  64144 [PSH, ACK] Seq=1313 Ack=12570 Win=3822 Len=72 [TCP segment of a reassembled PDU]"
"1496","16.298144","192.168.0.10","157.240.251.61","TCP","120","64144  >  5222 [PSH, ACK] Seq=12636 Ack=1385 Win=516 Len=66 [TCP segment of a reassembled PDU]"
"1524","16.384936","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1385 Ack=12636 Win=3822 Len=0"
"1535","16.385509","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1385 Ack=12702 Win=3822 Len=0"
"1536","16.390323","157.240.251.61","192.168.0.10","TCP","126","5222  >  64144 [PSH, ACK] Seq=1385 Ack=12702 Win=3822 Len=72 [TCP segment of a reassembled PDU]"
"1537","16.391709","192.168.0.10","157.240.251.61","TCP","120","64144  >  5222 [PSH, ACK] Seq=12702 Ack=1457 Win=515 Len=66 [TCP segment of a reassembled PDU]"
"1576","16.579433","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1457 Ack=12768 Win=3822 Len=0"
"2012","18.021718","157.240.251.61","192.168.0.10","TCP","122","5222  >  64144 [PSH, ACK] Seq=1457 Ack=12768 Win=3822 Len=68 [TCP segment of a reassembled PDU]"
"2015","18.021718","157.240.251.61","192.168.0.10","TCP","122","5222  >  64144 [PSH, ACK] Seq=1525 Ack=12768 Win=3822 Len=68 [TCP segment of a reassembled PDU]"
"2026","18.022108","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=12768 Ack=1593 Win=515 Len=0"
"2037","18.024402","192.168.0.10","157.240.251.61","TCP","118","64144  >  5222 [PSH, ACK] Seq=12768 Ack=1593 Win=515 Len=64 [TCP segment of a reassembled PDU]"
"2038","18.025540","192.168.0.10","157.240.251.61","TCP","118","64144  >  5222 [PSH, ACK] Seq=12832 Ack=1593 Win=515 Len=64 [TCP segment of a reassembled PDU]"
"2065","18.105562","157.240.251.61","192.168.0.10","TCP","122","5222  >  64144 [PSH, ACK] Seq=1593 Ack=12768 Win=3822 Len=68 [TCP segment of a reassembled PDU]"
"2066","18.107991","192.168.0.10","157.240.251.61","TCP","118","64144  >  5222 [PSH, ACK] Seq=12896 Ack=1661 Win=514 Len=64 [TCP segment of a reassembled PDU]"
"2068","18.111466","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1661 Ack=12832 Win=3822 Len=0"
"2069","18.111466","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1661 Ack=12896 Win=3822 Len=0"
"2081","18.204642","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1661 Ack=12960 Win=3822 Len=0"
"4612","27.799253","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=12960 Ack=1661 Win=514 Len=1392 [TCP segment of a reassembled PDU]"
"4613","27.799253","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=14352 Ack=1661 Win=514 Len=1392 [TCP segment of a reassembled PDU]"
"4614","27.799253","192.168.0.10","157.240.251.61","TCP","898","64144  >  5222 [PSH, ACK] Seq=15744 Ack=1661 Win=514 Len=844 [TCP segment of a reassembled PDU]"
"4617","27.880152","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1661 Ack=14352 Win=3833 Len=0"
"4618","27.886646","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1661 Ack=16588 Win=3851 Len=0"
"4622","28.077791","157.240.251.61","192.168.0.10","TCP","139","5222  >  64144 [PSH, ACK] Seq=1661 Ack=16588 Win=3851 Len=85 [TCP segment of a reassembled PDU]"
"4634","28.123062","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=16588 Ack=1746 Win=514 Len=0"
"4640","28.384449","157.240.251.61","192.168.0.10","TCP","126","5222  >  64144 [PSH, ACK] Seq=1746 Ack=16588 Win=3851 Len=72 [TCP segment of a reassembled PDU]"
"4641","28.386129","192.168.0.10","157.240.251.61","TCP","120","64144  >  5222 [PSH, ACK] Seq=16588 Ack=1818 Win=514 Len=66 [TCP segment of a reassembled PDU]"
"4669","28.484609","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1818 Ack=16654 Win=3851 Len=0"
"4786","28.891835","157.240.251.61","192.168.0.10","TCP","122","5222  >  64144 [PSH, ACK] Seq=1818 Ack=16654 Win=3851 Len=68 [TCP segment of a reassembled PDU]"
"4799","28.897475","192.168.0.10","157.240.251.61","TCP","118","64144  >  5222 [PSH, ACK] Seq=16654 Ack=1886 Win=514 Len=64 [TCP segment of a reassembled PDU]"
"4814","28.994494","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1886 Ack=16718 Win=3851 Len=0"
"5025","29.738147","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=16718 Ack=1886 Win=514 Len=1392 [TCP segment of a reassembled PDU]"
"5026","29.738147","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=18110 Ack=1886 Win=514 Len=1392 [TCP segment of a reassembled PDU]"
"5027","29.738147","192.168.0.10","157.240.251.61","TCP","946","64144  >  5222 [PSH, ACK] Seq=19502 Ack=1886 Win=514 Len=892 [TCP segment of a reassembled PDU]"
"5049","29.815813","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1886 Ack=18110 Win=3862 Len=0"
"5050","29.828420","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1886 Ack=19502 Win=3873 Len=0"
"5051","29.842324","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=1886 Ack=20394 Win=3883 Len=0"
"5106","30.041158","157.240.251.61","192.168.0.10","TCP","139","5222  >  64144 [PSH, ACK] Seq=1886 Ack=20394 Win=3883 Len=85 [TCP segment of a reassembled PDU]"
"5121","30.091437","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=20394 Ack=1971 Win=513 Len=0"
"5179","30.332652","157.240.251.61","192.168.0.10","TCP","126","5222  >  64144 [PSH, ACK] Seq=1971 Ack=20394 Win=3883 Len=72 [TCP segment of a reassembled PDU]"
"5205","30.335092","192.168.0.10","157.240.251.61","TCP","120","64144  >  5222 [PSH, ACK] Seq=20394 Ack=2043 Win=513 Len=66 [TCP segment of a reassembled PDU]"
"5237","30.462952","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=2043 Ack=20460 Win=3883 Len=0"
"5313","30.759083","157.240.251.61","192.168.0.10","TCP","122","5222  >  64144 [PSH, ACK] Seq=2043 Ack=20460 Win=3883 Len=68 [TCP segment of a reassembled PDU]"
"5341","30.803984","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=20460 Ack=2111 Win=513 Len=0"
"5345","30.828157","192.168.0.10","157.240.251.61","TCP","118","64144  >  5222 [PSH, ACK] Seq=20460 Ack=2111 Win=513 Len=64 [TCP segment of a reassembled PDU]"
"5379","30.931457","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=2111 Ack=20524 Win=3883 Len=0"
"8725","43.250387","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=20524 Ack=2111 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"8726","43.250387","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=21916 Ack=2111 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"8727","43.250387","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=23308 Ack=2111 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"8728","43.250387","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=24700 Ack=2111 Win=513 Len=1392 [TCP segment of a reassembled PDU]"
"8729","43.250387","192.168.0.10","157.240.251.61","TCP","818","64144  >  5222 [PSH, ACK] Seq=26092 Ack=2111 Win=513 Len=764 [TCP segment of a reassembled PDU]"
"8744","43.344832","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=2111 Ack=21916 Win=3894 Len=0"
"8745","43.344832","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=2111 Ack=23308 Win=3905 Len=0"
"8755","43.361294","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=2111 Ack=24700 Win=3916 Len=0"
